Period ,Labour force  No. (‘000),Labour force Percentage change over the same period in preceding year (%),Unemployed ('000),Unemployment rate (seasonally adjusted) (%) ,Unemployment rate (not seasonally adjusted) (%) ,Underemployed ('000),Underemployment rate (%) 
12/1988 - 2/1989,2766.8,0.3,24.9,1.1,0.9,17.1,0.6
1/1989 - 3/1989,2761.4,0.8,27.0,1.1,1.0,21.0,0.8
2/1989 - 4/1989,2745.9,0.5,31.8,1.2,1.2,21.9,0.8
3/1989 - 5/1989,2741.1,0.1,31.5,1.2,1.1,25.6,0.9
4/1989 - 6/1989,2736.0,-0.4,30.8,1.1,1.1,22.6,0.8
5/1989 - 7/1989,2740.5,-0.7,28.1,1.0,1.0,19.1,0.7
6/1989 - 8/1989,2747.8,-0.9,31.6,1.0,1.1,17.3,0.6
7/1989 - 9/1989,2742.6,-1.2,32.5,1.1,1.2,17.3,0.6
8/1989 - 10/1989,2743.1,-1.1,31.3,1.0,1.1,17.7,0.6
9/1989 - 11/1989,2760.6,-0.7,30.4,1.1,1.1,21.8,0.8
10/1989 - 12/1989,2771.3,-0.7,28.4,1.0,1.0,22.6,0.8
11/1989 - 1/1990,2768.9,-0.7,29.0,1.2,1.0,24.5,0.9
12/1989 - 2/1990,2742.5,-0.9,32.8,1.4,1.2,17.4,0.6
1/1990 - 3/1990,2743.5,-0.6,37.9,1.5,1.4,18.1,0.7
2/1990 - 4/1990,2743.7,-0.1,40.2,1.4,1.5,20.1,0.7
3/1990 - 5/1990,2747.5,0.2,35.7,1.4,1.3,26.6,1.0
4/1990 - 6/1990,2737.7,0.1,36.0,1.3,1.3,25.8,0.9
5/1990 - 7/1990,2736.2,-0.2,39.0,1.4,1.4,26.4,1.0
6/1990 - 8/1990,2736.6,-0.4,41.5,1.3,1.5,25.9,0.9
7/1990 - 9/1990,2736.4,-0.2,41.1,1.4,1.5,28.5,1.0
8/1990 - 10/1990,2748.8,0.2,36.8,1.2,1.3,26.6,1.0
9/1990 - 11/1990,2759.9,**,34.8,1.2,1.3,24.8,0.9
10/1990 - 12/1990,2774.7,0.1,31.2,1.2,1.1,21.4,0.8
11/1990 - 1/1991,2789.5,0.7,30.2,1.3,1.1,18.2,0.7
12/1990 - 2/1991,2784.9,1.6,31.7,1.4,1.1,30.2,1.1
1/1991 - 3/1991,2782.5,1.4,41.1,1.6,1.5,43.0,1.5
2/1991 - 4/1991,2772.9,1.1,50.9,1.7,1.8,57.1,2.1
3/1991 - 5/1991,2788.4,1.5,58.6,2.0,2.1,53.5,1.9
4/1991 - 6/1991,2790.6,1.9,58.3,1.9,2.1,46.7,1.7
5/1991 - 7/1991,2783.9,1.7,57.2,1.9,2.1,40.7,1.5
6/1991 - 8/1991,2785.3,1.8,55.6,1.8,2.0,40.5,1.5
7/1991 - 9/1991,2805.8,2.5,54.5,1.8,1.9,43.3,1.5
8/1991 - 10/1991,2824.8,2.8,52.3,1.8,1.9,44.5,1.6
9/1991 - 11/1991,2830.9,2.6,50.3,1.8,1.8,45.9,1.6
10/1991 - 12/1991,2837.6,2.3,47.8,1.9,1.7,45.3,1.6
11/1991 - 1/1992,2826.2,1.3,48.2,2.1,1.7,52.3,1.8
12/1991 - 2/1992,2802.0,0.6,51.8,2.2,1.8,54.9,2.0
1/1992 - 3/1992,2785.8,0.1,58.3,2.2,2.1,62.1,2.2
2/1992 - 4/1992,2780.6,0.3,62.8,2.0,2.3,62.2,2.2
3/1992 - 5/1992,2799.0,0.4,63.3,2.0,2.3,63.4,2.3
4/1992 - 6/1992,2801.3,0.4,57.4,1.9,2.1,62.0,2.2
5/1992 - 7/1992,2797.4,0.5,52.1,1.8,1.9,61.0,2.2
6/1992 - 8/1992,2776.7,-0.3,48.5,1.6,1.7,56.6,2.0
7/1992 - 9/1992,2765.0,-1.5,46.4,1.6,1.7,52.5,1.9
8/1992 - 10/1992,2781.7,-1.5,54.0,1.9,1.9,51.2,1.8
9/1992 - 11/1992,2797.8,-1.2,53.5,2.0,1.9,53.8,1.9
10/1992 - 12/1992,2817.1,-0.7,56.5,2.4,2.0,56.6,2.0
11/1992 - 1/1993,2817.7,-0.3,51.8,2.2,1.8,52.5,1.9
12/1992 - 2/1993,2827.8,0.9,57.7,2.2,2.0,48.2,1.7
1/1993 - 3/1993,2834.0,1.7,60.9,2.1,2.1,45.9,1.6
2/1993 - 4/1993,2838.0,2.1,61.4,1.9,2.2,50.1,1.8
3/1993 - 5/1993,2835.9,1.3,57.0,1.8,2.0,56.7,2.0
4/1993 - 6/1993,2832.1,1.1,56.9,1.8,2.0,56.7,2.0
5/1993 - 7/1993,2833.3,1.3,56.3,1.9,2.0,49.6,1.8
6/1993 - 8/1993,2835.0,2.1,55.5,1.9,2.0,41.8,1.5
7/1993 - 9/1993,2848.3,3.0,53.7,1.9,1.9,37.6,1.3
8/1993 - 10/1993,2856.6,2.7,55.9,2.0,2.0,42.1,1.5
9/1993 - 11/1993,2891.0,3.3,57.3,2.1,2.0,41.5,1.4
