product_name,mrp,price,pdp_url,brand_name,product_category,retailer,description,rating,review_count,style_attributes,total_sizes,available_size,color
Wacoal Women's Full Figure Basic Beauty Underwire Bra,$50.00,$50.00,http://www.topshop.com/en/tsus/product/clothing-70483/wacoal-women,Wacoal,Bras,Topshop US,Seamless molded two-ply cups with inner sling for smooth support,4.2,960.0,"[ 85% Nylon/15% Spandex , Imported , Hook and Eye closure , Hand Wash , Full-coverage bra with built-in camisole strap with stretch back release , Cups with hidden inner sling for shape and support , Band and sides smooth and minimize bulge , Hook-and-eye closure ]","32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38DDD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 40H , 42C , 42D , 42DD , 42DDD , 42G , 42H , 44C , 44D , 44DD , 44DDD , 44G , 44H","32D , 32DD , 32DDD , 32G , 34C , 34D , 34DD , 34DDD , 34G , 34H , 36C , 36D , 36DD , 36DDD , 36G , 36H , 38C , 38D , 38DD , 38DDD , 38G , 38H , 40C , 40D , 40DD , 40DDD , 40G , 40H , 42C , 42D , 42DD , 42DDD , 42G , 44C , 44D , 44DD , 44DDD , 44G , 44H",Naturally Nude
Triangle Bra, $30.00, $30.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/triangle-bra-6531296,US TOPSHOP,Lingerie,Topshop US,"Teal triangle bra with geometric lace. 87% Nylon, 13% Elastane. Machine wash.",,,,"2,4,6,8,10,12,14","2,4,6,8,10,14",TEAL
MATERNITY Criss Cross Knickers, $20.00, $20.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/maternity-criss-cross-knickers-6744809,US TOPSHOP,Lingerie,Topshop US,"These feminine black knickers for maternity features a criss cross detailing that adds a stylish hint to your under layer. Pair with the matching criss cross bra for a polished co-ord. 78% Polyamide, 22% Elastane. Machine wash.",,,,"4,6,8,10,12","4,6,8,10,12",BLACK
Floral Microfibre Knickers, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/floral-microfibre-ladypant-6784205,US TOPSHOP,Lingerie,Topshop US,"These microfibre knickers come in a pastel floral print with elegant lace trims and a cute pink bow applique at the front. 89% Polyamide, 11% Elastane. Machine wash.",,,,"2,4,6,8,10,12","2,4,6,8,10,12",CORAL
MATERNITY Lace And Mesh Mini Panties, $15.00, $15.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/maternity-lace-and-mesh-mini-panties-5408053,US TOPSHOP,Lingerie,Topshop US,"These pretty maternity panties come in a soft lace mesh finish, detailed with a sweet bow trim. 90% Polyamide, 10% Elastane. Machine wash.",,,,"4,6,8,10,12","4,6,8,10,12",Pale Pink
V-Back Mesh Insert Bra by Ivy Park, $36.00, $36.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/v-back-mesh-insert-bra-by-ivy-park-5476225,US TOPSHOP,Lingerie,Topshop US,"This bra top comes designed with a sheer mesh panel to the back for ventilation, while a power mesh lining and flat-locked contour seam provide a supportive and streamlined shape. Crafted for performance, the technical make ensures a quick drying and durable finish. Finished with a statement Ivy Park logo to the chest it can be worn alone or layered underneath one of our signature tanks. By Ivy Park. 92% Polyester, 8% Elastane. Machine wash. Model's height is 5' 9""",5.0,2.0,,"XXS,XS,S,M,L,XL","XXS,XS,M,L,XL",Grey Marl
Lace Plunge Bra, $35.00, $35.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/lace-plunge-bra-6625936,US TOPSHOP,Lingerie,Topshop US,"This elegant black plunge bra has been prettified with a gorgeous lace overlay. It features underwired cups, adjustable straps and hook and eye fastenings at the back. 89% Polyamide, 11% Elastane. Machine wash.",,,,"32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D","32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36B,36C",BLACK
Branded Jersey Mini Knickers, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/topshop-branded-jersey-crop-top-mini-knickers-set-6833496,US TOPSHOP,Lingerie,Topshop US,"This simple black lingerie set features a branded jersey crop top and matching jersey mini knickers. 93% Cotton, 7% Elastane. Machine wash.",,,,"2,4,6,8,10,12,14","2,4,6,8,10,12",
Branded Jersey Crop Top, $15.00, $15.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/topshop-branded-jersey-crop-top-mini-knickers-set-6833496,US TOPSHOP,Lingerie,Topshop US,"This simple black lingerie set features a branded jersey crop top and matching jersey mini knickers. 93% Cotton, 7% Elastane. Machine wash.",,,,"2,4,6,8,10,12,14","2,4,6,8,10,12",
Topshop Branded Mini Knickers, $10.00, $10.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/topshop-branded-sporty-bralet-and-knickers-set-6817470,US TOPSHOP,Lingerie,Topshop US,"This sporty lingerie set comes with Topshop branded mini knickers and a matching bralet. 93% Cotton, 7% Elastane. Machine wash.",,,,"2,4,6,8,10,12,14","2,4,6,8,10,12",
Topshop Branded Sporty Bralet, $15.00, $15.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/topshop-branded-sporty-bralet-and-knickers-set-6817470,US TOPSHOP,Lingerie,Topshop US,"This sporty lingerie set comes with Topshop branded mini knickers and a matching bralet. 93% Cotton, 7% Elastane. Machine wash.",,,,"2,4,6,8,10,12,14","6,8,10",
Fishnet Bodysuit, $38.00, $38.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/fishnet-bodysuit-6764117,US TOPSHOP,Lingerie,Topshop US,"Wear your underwear as outerwear with our edgy fishnet bodysuit. Great for teaming with high-waisted skirts and shorts, this sheer black sleeveless style features a scoop neckline, a solid insert of fabric on the chest and a subtle cutaway detail. 89% Polyester, 11% Elastane. Machine wash.",,,,"2,4,6,8,10,12,14","4,6,8,10,12,14",BLACK
Sporty Lace Triangle Bra, $26.00, $26.00,http://www.topshop.com/en/tsus/product/clothing-70483/lingerie-2313852/sporty-lace-triangle-bra-6581791,US TOPSHOP,Lingerie,Topshop US,"You don't have to be a fitness addict to love this magenta lace triangle bra with its sporty under band. Feminine and flirty, now you can embrace the sports-luxe trend in every layer. Team with the matching knicker for a stylish set. 86% Polyamide, 14% Elastane. Machine wash.",,,,"2,4,6,8,10,12","4,6,8,10",MAGENTA
