,id_guest,id_host,id_listing,ts_contact_at,ts_reply_at,ts_accepted_at,ts_booking_at,ds_checkin,ds_checkout,n_guests,n_messages
57,70180687-5888-4946-9578-83ab678cb997,ff4ee77c-3baa-49e4-9ee3-51add94b6b50,f242de54-802c-4f1f-b907-bf695163aa1f,2014-10-07 16:41:53,2014-10-08 20:44:07,,,2014-11-02 00:00:00,2014-11-03 00:00:00,1,8
58,9e5e2865-f257-4d19-9f79-9388ae925ad7,0749a8a5-9ced-42f7-94ba-f0b3a61928d6,fae2775e-024f-4c60-89b9-fd4d4119bba5,2014-10-14 22:54:16,2014-10-15 11:02:04,,,2014-10-31 00:00:00,2014-11-01 00:00:00,1,3
59,176a2fb8-1de3-483a-92a3-34a826a91f5a,78f31441-4c00-4c6f-b8fc-b163f0bc9878,6618cbda-eecf-48c6-ad94-dfe99248a7e5,2014-10-09 21:37:09,2014-10-10 00:30:27,,,2014-11-07 00:00:00,2014-11-09 00:00:00,2,5
60,67c4e87c-8a8f-4da4-a965-b89c9d74666b,82992868-442b-4c6e-8926-b2ec6724520e,e502da32-dfc6-4f40-bba2-80f326d7dbf7,2014-09-21 16:45:43,2014-09-21 16:52:11,,,2014-12-05 00:00:00,2014-12-08 00:00:00,2,2
61,7424d151-b449-40e1-9e8f-c258289c581c,beeab7c3-ab4e-45d7-bde9-978de0fd8d57,c318d3e3-b36e-43b8-9b0c-3400cbca3895,2014-10-11 14:57:40,2014-10-13 07:24:13,2014-10-13 07:24:13,,2014-10-29 00:00:00,2014-11-05 00:00:00,1,2
62,15eb6f98-98ee-491e-8eeb-b5e2c61bfd8a,1a162837-bd2e-4cf3-b498-70f122f8e278,ef78de5e-c0c2-47b5-9f90-8d508ada4aa8,2014-09-30 07:54:26,,,,2014-10-17 00:00:00,2014-10-19 00:00:00,1,2
63,d328a4a0-df5f-4851-a864-a8845b45c1e0,d4fac41a-cfb0-4440-8f5f-cc71d69900bf,4054beed-b863-4ccf-8dd0-ef70317133f3,2014-10-12 11:10:13,2014-10-12 11:18:11,2014-10-12 11:18:33,2014-10-12 11:18:33,2014-10-24 00:00:00,2014-10-29 00:00:00,1,15
64,eda96881-7b23-413a-9f6f-b45dc9fe2a5b,300bb97d-ee7e-40df-93b8-d4ae133566d8,0caa7b1b-f1a3-4ebc-af8d-38400272b980,2014-10-05 18:57:16,2014-10-05 19:40:07,,,2015-06-12 00:00:00,2015-06-14 00:00:00,4,5
65,882f3764-05cc-436a-b23b-93fea22ea847,570ebf8a-6594-4511-91ea-0f9227124e47,f916ba84-966c-4abf-bfe6-35e6a9e4643b,2014-10-14 09:23:15,2014-10-14 18:41:07,2014-10-14 18:41:24,2014-10-15 20:59:11,2014-10-19 00:00:00,2014-10-21 00:00:00,2,19
66,6cb23070-821b-467d-b4d0-af04645a0703,8e78ca63-5473-4b4c-a7fc-6d112de50a46,d0babecd-86bf-48c8-9aeb-dde877c62c37,2014-10-07 13:38:42,2014-10-08 10:05:46,,,2014-10-31 00:00:00,2014-11-03 00:00:00,2,2
